iter	RMSE
0	0.3920997424
1	0.3846039051
2	0.3773783256
3	0.3706419447
4	0.3637446343
5	0.3569084314
6	0.3500563644
7	0.3436226254
8	0.3380436331
9	0.3322100031
10	0.3263144638
11	0.3207298329
12	0.3155099901
13	0.3097839883
14	0.3047575077
15	0.2994637075
16	0.2944530674
17	0.2895619114
18	0.2844873685
19	0.2799306298
20	0.2757302673
21	0.271431488
22	0.267278602
23	0.2635802914
24	0.2597709835
25	0.2560940378
26	0.2524514428
27	0.2485743996
28	0.2451563577
29	0.2419866631
30	0.238773911
31	0.2356633227
32	0.2324514158
33	0.2293819723
34	0.2265081557
35	0.2236413742
36	0.2208941118
37	0.2183014009
38	0.2156782672
39	0.2133274887
40	0.2106523282
41	0.2082537386
42	0.2056884084
43	0.2035572771
44	0.2012135846
45	0.1990382427
46	0.1972131353
47	0.1950252167
48	0.1930821629
49	0.1911639705
50	0.189416809
51	0.1875144682
52	0.1858209765
53	0.1840970482
54	0.1824858257
55	0.1810246813
56	0.1793523847
57	0.1779244842
58	0.176542614
59	0.1751097392
60	0.1736819341
61	0.1724521469
62	0.1711262627
63	0.1697879567
64	0.168503171
65	0.167271674
66	0.1661027453
67	0.1651068439
68	0.1641034572
69	0.1629845725
70	0.1618323181
71	0.1608536024
72	0.1598287524
73	0.1589922173
74	0.1580818164
75	0.1570540935
76	0.1561378691
77	0.1551284508
78	0.1541687151
79	0.1532307947
80	0.1523581273
81	0.1514964825
82	0.1507116927
83	0.1498888311
84	0.1491360342
85	0.1483617941
86	0.1476263488
87	0.1469220103
88	0.1462723089
89	0.1456318079
90	0.144920704
91	0.1443568661
92	0.1436173352
93	0.143008275
94	0.1425000925
95	0.1417897355
96	0.1411514185
97	0.1404724042
98	0.1398189522
99	0.1392682034
100	0.1387032606
101	0.1381937723
102	0.1376503076
103	0.1369868371
104	0.1364537687
105	0.1359075743
106	0.1354467415
107	0.1350089255
108	0.1345817719
109	0.1340442479
110	0.13354481
111	0.1330352314
112	0.13265542
113	0.1321893145
114	0.1317736102
115	0.1312946567
116	0.1309769094
117	0.1305188728
118	0.1301757598
119	0.1296681013
120	0.1292969582
121	0.1288929818
122	0.128419672
123	0.1280483569
124	0.1276520907
125	0.127303055
126	0.1267919817
127	0.1264768057
128	0.1260996955
129	0.1258358136
130	0.1254190609
131	0.1250887401
132	0.1247300524
133	0.1243979902
134	0.1241556854
135	0.1238300727
136	0.1235343483
137	0.1232408313
138	0.1229829795
139	0.1226623373
140	0.1222384509
141	0.1218457115
142	0.1215570303
143	0.1212419087
144	0.120877789
145	0.120515417
146	0.1202803876
147	0.1200361652
148	0.1197746161
149	0.1195496374
150	0.119279476
151	0.1189817669
152	0.118758085
153	0.1184395041
154	0.1181861802
155	0.117902422
156	0.1177058971
157	0.1174396083
158	0.1172518525
159	0.1169749125
160	0.116682654
161	0.1164443292
162	0.1161948074
163	0.1159631652
164	0.1156974537
165	0.1154260399
166	0.1151639012
167	0.1148988358
168	0.1146933006
169	0.1143930352
170	0.1142407549
171	0.1140864135
172	0.1138806892
173	0.1136713166
174	0.1134677238
175	0.1132487859
176	0.1130468738
177	0.1127555127
178	0.1125897966
179	0.1124291353
180	0.1122473872
181	0.1120672667
182	0.1118839629
183	0.111727907
184	0.1115107568
185	0.1113175772
186	0.1110820819
187	0.1109394543
188	0.1107385597
189	0.1105440157
190	0.1103546231
191	0.1102521476
192	0.110049888
193	0.1099295033
194	0.1098233818
195	0.1096787803
196	0.1094378479
197	0.1091758308
198	0.10906609
199	0.1089683426
200	0.1089205779
201	0.1087313268
202	0.1085646147
203	0.1083592927
204	0.1082302756
205	0.1079912538
206	0.1078865273
207	0.1076573584
208	0.1074672335
209	0.1072176284
210	0.1070929024
211	0.1068104519
212	0.1067474995
213	0.1065965627
214	0.1064223315
215	0.1061437339
216	0.1059605643
217	0.1057726809
218	0.1055956981
219	0.1054951545
220	0.1053660278
221	0.10528348
222	0.1051108176
223	0.1049594249
224	0.104731553
225	0.1046646506
226	0.104528793
227	0.1044821958
228	0.1043350209
229	0.1042713813
230	0.1042058355
231	0.1039431267
232	0.1038778837
233	0.1037397514
234	0.1035630653
235	0.1033611625
236	0.1032224086
237	0.103196798
238	0.1031201546
239	0.1029362855
240	0.1028804711
241	0.1027258954
242	0.1024786445
243	0.1022967782
244	0.1021113825
245	0.1020605942
246	0.1019676617
247	0.1019068628
248	0.1017472615
249	0.101600128
250	0.1015435181
251	0.1013628053
252	0.1013093195
253	0.1011437535
254	0.1010013365
255	0.1008572438
256	0.1006904782
257	0.1005080105
258	0.1004432607
259	0.1002819692
260	0.1001619146
261	0.1001182118
262	0.09998656987
263	0.09976986803
264	0.09959876096
265	0.09955062682
266	0.09950700852
267	0.09935308774
268	0.09920103309
269	0.09914395167
270	0.09899617364
271	0.09883721746
272	0.0986501064
273	0.09847049134
274	0.09841882436
275	0.0983745166
276	0.09833471623
277	0.09828784229
278	0.09825005658
279	0.09820968888
280	0.09816376753
281	0.09811892764
282	0.0980656611
283	0.09802409189
284	0.09797689993
285	0.09793770405
286	0.09773094579
287	0.09767021468
288	0.09749650452
289	0.09735059545
290	0.09730636865
291	0.09726822651
292	0.09722484661
293	0.09713815843
294	0.09696611685
295	0.09692398325
296	0.09688991799
297	0.09667835726
298	0.09664251154
299	0.09660909141
300	0.09657246936
301	0.09641615672
302	0.09638060738
303	0.09623338331
304	0.09619667026
305	0.09615503932
306	0.09611898471
307	0.09608035589
308	0.09604063127
309	0.09584684468
310	0.09568451295
311	0.09562726346
312	0.09549621724
313	0.09545939919
314	0.09542535676
315	0.09527771261
316	0.095232763
317	0.0951946346
318	0.09516646489
319	0.09512252567
320	0.09497238677
321	0.09476314601
322	0.09473711547
323	0.09453078915
324	0.09449467707
325	0.09433984362
326	0.09430663194
327	0.0942746791
328	0.09417573165
329	0.09403286866
330	0.09400615182
331	0.09397875474
332	0.09395246456
333	0.09391120996
334	0.09382447397
335	0.09379796146
336	0.09367050309
337	0.09347856019
338	0.09344830451
339	0.09342016975
340	0.09326964469
341	0.09323568895
342	0.09317441448
343	0.09297796287
344	0.09288635979
345	0.09286886288
346	0.09284443071
347	0.09270999263
348	0.09268022303
349	0.09253112227
350	0.09249107241
351	0.09235859834
352	0.09217416439
353	0.09214218946
354	0.0919991572
355	0.09197785474
356	0.09184824972
357	0.0918272968
358	0.0917991135
359	0.09172647969
360	0.09170642097
361	0.0916326949
362	0.09147039462
363	0.09131873148
364	0.09122237421
365	0.09112349451
366	0.0910941938
367	0.09107165097
368	0.09104514576
369	0.09102522675
370	0.09099798298
371	0.09088112322
372	0.09085858802
373	0.09074174502
374	0.09070975093
375	0.09067693411
376	0.09052102327
377	0.09050024421
378	0.09041173551
379	0.09032210563
380	0.09027891901
381	0.09025195616
382	0.09012413507
383	0.09003998539
384	0.09002206684
385	0.0899101927
386	0.08977217189
387	0.089625322
388	0.08956974137
389	0.08952141261
390	0.08938107224
391	0.0893624785
392	0.08922668789
393	0.08921210504
394	0.08919365172
395	0.08906190458
396	0.08894675119
397	0.088925271
398	0.08890352485
399	0.08875098703
400	0.08862380833
401	0.08860044017
402	0.08858531109
403	0.08845683694
404	0.08833944496
405	0.08818416118
406	0.08805566302
407	0.08797516108
408	0.08784911796
409	0.08772273857
410	0.08763860581
411	0.08756164082
412	0.08742859263
413	0.08732246428
414	0.08730634527
415	0.08716222753
416	0.08706087129
417	0.08694700092
418	0.08683981959
419	0.08682395364
420	0.08672510625
421	0.08657224351
422	0.08654986134
423	0.08646723669
424	0.08627804686
425	0.08619524065
426	0.08609287208
427	0.08597075904
428	0.08594534841
429	0.08583879981
430	0.08572623711
431	0.08562811763
432	0.0856116753
433	0.08559005784
434	0.08549329176
435	0.08546919655
436	0.08544058748
437	0.08532000247
438	0.08520798616
439	0.08509953655
440	0.08507537756
441	0.08505415528
442	0.0850149928
443	0.08489162425
444	0.0848759183
445	0.08475188357
446	0.08464305876
447	0.08462159982
448	0.08459968535
449	0.08451230514
450	0.08441242157
451	0.08439927725
452	0.0843241838
453	0.08422021219
454	0.08408499617
455	0.08399096657
456	0.08389438691
457	0.08387552224
458	0.08385600929
459	0.08382527762
460	0.08380653321
461	0.08379106115
462	0.08371212113
463	0.08361675134
464	0.08353178899
465	0.08341452445
466	0.08339554691
467	0.08329433789
468	0.08320019872
469	0.08316316735
470	0.08309135943
471	0.08299675732
472	0.08286970156
473	0.08278800942
474	0.08276303868
475	0.08275018762
476	0.08273208743
477	0.08264195817
478	0.08252225498
479	0.08245245758
480	0.08233420543
481	0.0822247008
482	0.08215603934
483	0.08213941125
484	0.0820272839
485	0.08193770591
486	0.0818194451
487	0.08178799099
488	0.08177601451
489	0.08175235924
490	0.0816705379
491	0.08159180378
492	0.08157834736
493	0.08155297236
494	0.08147458981
495	0.0814075147
496	0.08133803575
497	0.08131766271
498	0.08118094423
499	0.08108297633
500	0.08105829745
501	0.08103870481
502	0.08092241075
503	0.08085277217
504	0.08075199868
505	0.08072867635
506	0.08065453552
507	0.08053614052
508	0.0805190848
509	0.08043396512
510	0.08042796555
511	0.08030018208
512	0.08026667899
513	0.08011997956
514	0.0799956515
515	0.07987617601
516	0.07974655658
517	0.07973038486
518	0.07971782229
519	0.07970770064
520	0.07957088347
521	0.07956567433
522	0.07954276951
523	0.07953215685
524	0.07946991589
525	0.07936665624
526	0.07928568244
527	0.0792210555
528	0.07920447364
529	0.07913359812
530	0.07909228449
531	0.07900605703
532	0.07895091267
533	0.07887215921
534	0.07885255188
535	0.07874642992
536	0.07866161546
537	0.07858196405
538	0.07846226286
539	0.07843813192
540	0.0783153251
541	0.07823293638
542	0.07818015791
543	0.07816659909
544	0.07806267087
545	0.07794496219
546	0.0779101949
547	0.07784573596
548	0.07778054358
549	0.07770998499
550	0.07767873584
551	0.07757363121
552	0.07746430622
553	0.07736388194
554	0.07727369195
555	0.07725949031
556	0.07724970869
557	0.07714687196
558	0.07713181186
559	0.07712610192
560	0.07705894974
561	0.07692884117
562	0.07684682421
563	0.07677786734
564	0.07665426416
565	0.07663768295
566	0.07655898476
567	0.07647291644
568	0.07644643721
569	0.0763957585
570	0.07629530822
571	0.07619111185
572	0.07614396018
573	0.07613419255
574	0.07605141819
575	0.07603846758
576	0.07602854328
577	0.07592234581
578	0.07584704824
579	0.07580308848
580	0.07578101472
581	0.07577554546
582	0.0757295937
583	0.07566009217
584	0.07558619051
585	0.07553394285
586	0.07550149571
587	0.0754159339
588	0.07533348455
589	0.07524855346
590	0.07522259398
591	0.07514331117
592	0.07511016636
593	0.07504005988
594	0.07500451398
595	0.07493923817
596	0.07482427384
597	0.07471470699
598	0.07462816198
599	0.07456927505
600	0.07445137962
601	0.07435667162
602	0.07434286157
603	0.0743172212
604	0.07425823968
605	0.07416270163
606	0.07404491956
607	0.07397972671
608	0.07391585089
609	0.07385491345
610	0.07375744018
611	0.07367938742
612	0.07357352091
613	0.07345035045
614	0.07334853477
615	0.0732589362
616	0.07322896316
617	0.07311994367
618	0.07306914985
619	0.07298096519
620	0.07290494244
621	0.07281898707
622	0.07273223401
623	0.07269404069
624	0.0726327963
625	0.07253374292
626	0.07246160909
627	0.07239592332
628	0.07236346001
629	0.07231753213
630	0.07225646368
631	0.07216474404
632	0.07211230524
633	0.0720029433
634	0.07199455266
635	0.0719389104
636	0.07188624485
637	0.07180055451
638	0.07176734919
639	0.0716494345
640	0.0715370754
641	0.07145409651
642	0.07132789852
643	0.07126494782
644	0.07125025522
645	0.07123959694
646	0.07119829033
647	0.0711429711
648	0.07109617925
649	0.07100240372
650	0.07092431402
651	0.07085632544
652	0.07078052153
653	0.07073571127
654	0.07067777547
655	0.0705841841
656	0.07055432856
657	0.07048161962
658	0.070446606
659	0.07039151553
660	0.07028836624
661	0.07024966453
662	0.07017742954
663	0.07010899412
664	0.07003981583
665	0.06994527741
666	0.06983133795
667	0.0697680908
668	0.06972540493
669	0.06963196623
670	0.06958809684
671	0.06955465664
672	0.06950483398
673	0.06947878634
674	0.06937292886
675	0.06930747969
676	0.06922546618
677	0.06918778921
678	0.06912043046
679	0.0690551724
680	0.0689816175
681	0.06890788022
682	0.06889610297
683	0.06885288521
684	0.06882704682
685	0.06881589625
686	0.06875759641
687	0.06874385051
688	0.06866965404
689	0.06860413716
690	0.06850720356
691	0.06841613471
692	0.06834201998
693	0.06830108279
694	0.06827420108
695	0.06823342194
696	0.06817780381
697	0.06813281175
698	0.06806756151
699	0.06804722924
700	0.06797304807
701	0.06789978766
702	0.06783094448
703	0.06774520346
704	0.06769342126
705	0.0675565113
706	0.06748517277
707	0.06738836495
708	0.06733877014
709	0.06724000349
710	0.06720931568
711	0.06717356906
712	0.06713009323
713	0.06706497137
714	0.06703131402
715	0.06698564983
716	0.06690170327
717	0.06688977662
718	0.06684811795
719	0.06679433082
720	0.06674990746
721	0.06669804923
722	0.0666291703
723	0.06655167718
724	0.06653064831
725	0.06648384868
726	0.0664707306
727	0.06641350216
728	0.0662987011
729	0.06625263067
730	0.06616072252
731	0.06615103143
732	0.06608142443
733	0.06601061763
734	0.06594608793
735	0.06592338929
736	0.06585670626
737	0.06580851393
738	0.06576902202
739	0.06568447486
740	0.06566601711
741	0.06558460056
742	0.06550801291
743	0.06547984196
744	0.0654645939
745	0.06542309813
746	0.06536246565
747	0.06530771315
748	0.06524212744
749	0.06523612743
750	0.06514200016
751	0.06508083533
752	0.06501271939
753	0.06489834441
754	0.06483106793
755	0.06480464324
756	0.0648003562
757	0.06475949578
758	0.06472826367
759	0.06461535762
760	0.06456345305
761	0.06450911039
762	0.06445591385
763	0.06439614248
764	0.06437558769
765	0.06424642291
766	0.06416718823
767	0.06414322917
768	0.06409408455
769	0.06403748623
770	0.0639675136
771	0.06393765199
772	0.06388721913
773	0.06386170229
774	0.06377664713
775	0.06369899865
776	0.06367921081
777	0.06366949198
778	0.0636515777
779	0.06359668684
780	0.06352191824
781	0.06343821563
782	0.06343201235
783	0.06336748398
784	0.06333346189
785	0.06326855496
786	0.06322836307
787	0.06320003489
788	0.06318660898
789	0.06310070146
790	0.06308140719
791	0.06303534049
792	0.06303090883
793	0.06301376105
794	0.06299442476
795	0.06293803027
796	0.06290521042
797	0.06285331921
798	0.06282828887
799	0.06275828966
800	0.06275417224
801	0.06264419744
802	0.06263919285
803	0.06255204941
804	0.06249292669
805	0.0624879443
806	0.06248284326
807	0.06240872314
808	0.0623985943
809	0.06236252118
810	0.06228184635
811	0.06222791426
812	0.06215970111
813	0.06207465949
814	0.0620310032
815	0.06199342045
816	0.06192831311
817	0.06186933513
818	0.06180494317
819	0.06179985067
820	0.0617940012
821	0.06173119785
822	0.0616763622
823	0.06164206921
824	0.06158049508
825	0.06148207542
826	0.06140838073
827	0.06134775858
828	0.06130019786
829	0.06125282486
830	0.06122388516
831	0.06117197358
832	0.06112438808
833	0.06104698308
834	0.06102849812
835	0.06095482717
836	0.06091464829
837	0.06083498594
838	0.0607863879
839	0.06078276043
840	0.0607173024
841	0.06070498691
842	0.06064348094
843	0.06060307095
844	0.06056821156
845	0.0605451806
846	0.06053481236
847	0.06047599951
848	0.0604723211
849	0.06043560219
850	0.06041260142
851	0.0603741191
852	0.06028751984
853	0.06023711122
854	0.06020400337
855	0.06015953543
856	0.06011994447
857	0.06009318048
858	0.06006472522
859	0.06002598216
860	0.06001442821
861	0.06000971854
862	0.05993504751
863	0.05987569853
864	0.05982686733
865	0.05974397617
866	0.05972774684
867	0.05969236304
868	0.05965170188
869	0.05957041164
870	0.05953248354
871	0.05951627301
872	0.05948375201
873	0.05946310138
874	0.05945410951
875	0.05938855693
876	0.05938225495
877	0.05933851797
878	0.05933209076
879	0.05932810464
880	0.05930214208
881	0.05924016878
882	0.05920512843
883	0.05919826108
884	0.0591873886
885	0.0591793082
886	0.05916174542
887	0.05912526351
888	0.05911827602
889	0.05907542355
890	0.05900967483
891	0.05898415431
892	0.05897884399
893	0.05891535403
894	0.05885433296
895	0.05881096976
896	0.05875942194
897	0.05875101933
898	0.05873432723
899	0.05865354659
900	0.05862261952
901	0.0585996628
902	0.05858983995
903	0.05850261202
904	0.05842462612
905	0.05836780006
906	0.05834648226
907	0.05833187133
908	0.05832687595
909	0.05831670535
910	0.05826761071
911	0.05824774383
912	0.05818761167
913	0.05811827758
914	0.05809330186
915	0.05806549181
916	0.05800080719
917	0.05793766714
918	0.05793390511
919	0.05792842101
920	0.05787054442
921	0.05785859592
922	0.05778865741
923	0.0577330625
924	0.05767127542
925	0.05760892245
926	0.05755959981
927	0.05753737126
928	0.05751739506
929	0.05745104678
930	0.05737815746
931	0.05734208418
932	0.05728812106
933	0.05725693133
934	0.05724035583
935	0.05718664419
936	0.05717058475
937	0.05711308822
938	0.05709519781
939	0.05703415241
940	0.05699486112
941	0.05698370396
942	0.05691176582
943	0.05690615966
944	0.0568916681
945	0.05688707075
946	0.05681730686
947	0.05671699133
948	0.05670659831
949	0.05661805956
950	0.05657865702
951	0.05656186499
952	0.0565033997
953	0.05644270827
954	0.05640671548
955	0.05634133642
956	0.05629860546
957	0.05628705591
958	0.05618336358
959	0.05617912286
960	0.05616487283
961	0.05611117517
962	0.05608956923
963	0.05601741311
964	0.05595953456
965	0.05595473815
966	0.0558665418
967	0.0558188081
968	0.05580326742
969	0.05574070113
970	0.0556816381
971	0.05564914847
972	0.05557933638
973	0.05555817509
974	0.05554793371
975	0.05552034435
976	0.05550019622
977	0.05547168698
978	0.05541585429
979	0.05537271353
980	0.05536879987
981	0.05536445411
982	0.05535822036
983	0.05530339657
984	0.05528815842
985	0.05524954374
986	0.05521050994
987	0.05517392064
988	0.05511079226
989	0.05510750975
990	0.05508182542
991	0.05501502304
992	0.05499729932
993	0.05499343172
994	0.0549020774
995	0.05489709071
996	0.05488118442
997	0.05480374467
998	0.05476157291
999	0.05470989967
1000	0.05470579359
1001	0.05470216083
1002	0.05465635567
1003	0.05465277711
1004	0.05463668458
1005	0.05459076818
1006	0.05458460437
1007	0.0545627002
1008	0.05446380863
1009	0.05446024844
1010	0.05445250195
1011	0.05444727978
1012	0.05438382618
1013	0.05434136513
1014	0.05433663901
1015	0.05426689386
1016	0.05426175557
1017	0.05421519121
1018	0.0542073177
1019	0.05419344168
1020	0.0541441853
1021	0.05412355832
1022	0.05411340442
1023	0.05408158045
1024	0.05407506252
1025	0.05407143732
1026	0.05399857071
1027	0.05399303076
1028	0.05396172618
1029	0.05394790776
1030	0.05394423808
1031	0.05394029439
1032	0.05390343389
1033	0.05389968769
1034	0.05389305238
1035	0.05388981824
1036	0.05388094205
1037	0.05386306202
1038	0.05383083434
1039	0.05377376275
1040	0.05372370549
1041	0.05370933569
1042	0.05370071858
1043	0.05368615222
1044	0.05364885166
1045	0.05363919193
1046	0.0535816408
1047	0.05352495187
1048	0.05352193285
1049	0.05351433734
1050	0.05346867665
1051	0.05346574866
1052	0.05340914333
1053	0.05337581529
1054	0.05334058829
1055	0.05330315358
1056	0.05325504701
1057	0.05322959846
1058	0.0531712612
1059	0.05314308336
1060	0.05308681359
1061	0.053064122
1062	0.05304704471
1063	0.05300918276
1064	0.05300593316
1065	0.05299589066
1066	0.05299289459
1067	0.05297647175
1068	0.05291280265
1069	0.05290908038
1070	0.05287410925
1071	0.05281048393
1072	0.05278464054
1073	0.05278080955
1074	0.0527304713
1075	0.05269444264
1076	0.05261724044
1077	0.05257049307
1078	0.05251664548
1079	0.05250090126
1080	0.0524627332
1081	0.05240959309
1082	0.05236734545
1083	0.05231535946
1084	0.05225928332
1085	0.05223493959
1086	0.05221241621
1087	0.05216055216
1088	0.05211097118
1089	0.05203043784
1090	0.05202280707
1091	0.0519724513
1092	0.05193352959
1093	0.05191836283
1094	0.05184456453
1095	0.05183670096
1096	0.05183295338
1097	0.05175581609
1098	0.05175215449
1099	0.051705712
1100	0.05170140694
1101	0.05169282062
1102	0.05166732942
1103	0.05166461943
1104	0.05165158113
1105	0.05164787672
1106	0.05160156867
1107	0.05159777861
1108	0.05156674186
1109	0.05151207523
1110	0.05150869422
1111	0.05150080916
1112	0.05149653802
1113	0.05146685011
1114	0.05144016328
1115	0.05137138499
1116	0.05130261868
1117	0.05129421157
1118	0.05124734944
1119	0.05124144428
1120	0.05122840002
1121	0.05118647199
1122	0.05112807531
1123	0.05112532796
1124	0.05105634398
1125	0.05104566969
1126	0.05099103524
1127	0.05093099765
1128	0.05088084007
1129	0.05087770219
1130	0.05080922746
1131	0.05076749227
1132	0.05075920954
1133	0.05075484278
1134	0.05068616217
1135	0.05065215882
1136	0.0506496022
1137	0.05062433188
1138	0.05055782578
1139	0.05049635162
1140	0.0504755337
1141	0.05046981594
1142	0.05045879707
1143	0.05040126251
1144	0.0503913039
1145	0.05036126834
1146	0.05031554096
1147	0.05029551087
1148	0.05028338437
1149	0.05022529752
1150	0.05014028431
1151	0.05013463909
1152	0.05010440297
1153	0.05010145841
1154	0.05006611762
1155	0.0500630662
1156	0.05006095255
1157	0.05005845769
1158	0.0500127824
1159	0.05000948873
1160	0.04999690767
1161	0.04999447007
1162	0.04999210134
1163	0.04993708167
1164	0.04988445809
1165	0.04984903389
1166	0.04984386543
1167	0.04982046043
1168	0.04975915957
1169	0.04972604134
1170	0.0496582742
1171	0.04960740291
1172	0.04954915833
1173	0.04953283319
1174	0.04952665387
1175	0.04950419789
1176	0.04946081403
1177	0.04938210008
1178	0.04933331121
1179	0.04932188266
1180	0.04931911565
