iter	MultiClass
0	2.306641833
1	2.232554855
2	2.167818623
3	2.108575644
4	2.058619355
5	2.011640264
6	1.968840753
7	1.931249399
8	1.894893313
9	1.86217828
10	1.832765893
11	1.805180361
12	1.779489503
13	1.756826242
14	1.732800657
15	1.711543631
16	1.694492032
17	1.674970589
18	1.656284236
19	1.641097299
20	1.623176323
21	1.608353523
22	1.592781581
23	1.57904871
24	1.565851508
25	1.552039886
26	1.540552262
27	1.530937656
28	1.520085212
29	1.513129807
30	1.505046133
31	1.49482702
32	1.483998911
33	1.475963843
34	1.469748287
35	1.463183053
36	1.454063654
37	1.448097918
38	1.439777754
39	1.432321591
40	1.42658446
41	1.420497
42	1.415155005
43	1.410102933
44	1.403787296
45	1.397805456
46	1.391582641
47	1.385160052
48	1.380646009
49	1.375435926
50	1.370638041
51	1.366424669
52	1.361596321
53	1.358691727
54	1.354415333
55	1.349785983
56	1.346274021
57	1.343061454
58	1.339111559
59	1.335498058
60	1.331020388
61	1.327284159
62	1.324056666
63	1.321457855
64	1.318716386
65	1.316438059
66	1.314014583
67	1.311534635
68	1.308205175
69	1.305051875
70	1.303025601
71	1.301076616
72	1.298706694
73	1.295250757
74	1.293904066
75	1.291499276
76	1.289822424
77	1.287987927
78	1.285489835
79	1.28356857
80	1.281418794
81	1.278610826
82	1.276502012
83	1.274781318
84	1.272530076
85	1.270834525
86	1.269000244
87	1.266505981
88	1.264635889
89	1.262399315
90	1.260775903
91	1.259351062
92	1.257876334
93	1.25613906
94	1.25409059
95	1.252794484
96	1.251995684
97	1.250469373
98	1.249084622
99	1.247020899
100	1.245842615
101	1.24426291
102	1.242694296
103	1.241175604
104	1.239634786
105	1.238090344
106	1.237034347
107	1.236061226
108	1.234918655
109	1.233378386
110	1.231910338
111	1.230456338
112	1.228840773
113	1.227310141
114	1.225793143
115	1.224770045
116	1.223689093
117	1.222233349
118	1.220607826
119	1.21948627
120	1.218390611
121	1.217190387
122	1.215901145
123	1.214800063
124	1.213512191
125	1.212342151
126	1.211035392
127	1.209562724
128	1.208240467
129	1.207151372
130	1.205963946
131	1.204826195
132	1.203717877
133	1.202197393
134	1.201042313
135	1.199987952
136	1.198799332
137	1.197560998
138	1.196570505
139	1.195369343
140	1.194206416
141	1.193210192
142	1.192186187
143	1.191137333
144	1.190091008
145	1.189007917
146	1.187769078
147	1.187015441
148	1.185897874
149	1.18508745
150	1.184475675
151	1.183524853
152	1.182770453
153	1.181785306
154	1.181145168
155	1.180241695
156	1.179311559
157	1.178663277
158	1.177761373
159	1.177031863
160	1.17629018
161	1.175406261
162	1.174872504
163	1.174201954
164	1.173468563
165	1.172733972
166	1.172040279
167	1.170976098
168	1.17010292
169	1.169436661
170	1.168530165
171	1.167884895
172	1.166967995
173	1.166217208
174	1.165202882
175	1.164217339
176	1.163319383
177	1.162335235
178	1.161421229
179	1.160703056
180	1.159876468
181	1.159267274
182	1.158431358
183	1.157460919
184	1.15684141
185	1.155829537
186	1.155097573
187	1.154263025
188	1.153697715
189	1.153010508
190	1.152478093
191	1.151848554
192	1.150886785
193	1.150281051
194	1.149480068
195	1.14896055
196	1.148426627
197	1.147697211
198	1.1469761
